id,lot,serialnumber,senddate
4455,444552,CAYV2FTA4,2024-08-07
4456,444552,WCE6ZHF4Z,2024-08-07
4457,444552,EN8HB508V,2024-08-07
4458,444552,1XV0B5K2H,2024-08-07
4459,444552,4HD132E74,2024-08-07
4487,444552,725NRTB5Y,2024-08-07
4488,444552,ZX3F209KM,2024-08-07
4489,444552,B6R3Z2FAV,2024-08-07
4465,444552,VX0T58X5R,2024-08-07
4549,444552,K66VRR8V8,2024-08-07
4550,444552,WP251D9W9,2024-08-07
4551,444552,GH845ZH6F,2024-08-07
4552,444552,2YGRCTX1D,2024-08-07
4349,444552,201HTRGM0,2024-08-07
4350,444552,K7A60EM96,2024-08-07
4351,444552,1ZR0X6W5P,2024-08-07
4352,444552,2N1DM6E6S,2024-08-07
4353,444552,SGF9X5MXC,2024-08-07
4354,444552,9B3RY6T88,2024-08-07
4355,444552,W7PGXWAWA,2024-08-07
4466,444552,9E971SABH,2024-08-07
4467,444552,Z5VVKNW0T,2024-08-07
4490,444552,TPYPC66B0,2024-08-07
4491,444552,PGBYX6NGT,2024-08-07
4492,444552,2TK42TCY3,2024-08-07
4493,444552,HN03S953Y,2024-08-07
4494,444552,52XTKV84F,2024-08-07
4495,444552,KP7CKC698,2024-08-07
4496,444552,54RBZAG07,2024-08-07
4497,444552,G7K6A43C6,2024-08-07
4512,444552,D4Z0S8GHT,2024-08-07
4425,444552,R9T8WPXK3,2024-08-07
4348,444552,NNC8Z8RD7,2024-08-07
4516,444552,CZ25ABMSG,2024-08-07
4517,444552,WV08FSH90,2024-08-07
4518,444552,115KFFV5B,2024-08-07
4400,444552,DRCN9Y5V4,2024-08-07
4401,444552,4C7RTXF4C,2024-08-07
4402,444552,3N2D15N8R,2024-08-07
4403,444552,3YV55C5S9,2024-08-07
4404,444552,GNRX07EN2,2024-08-07
4411,444552,GR7SNKFDN,2024-08-07
4333,444552,CW6KYXY0G,2024-08-07
4334,444552,YV085FFG5,2024-08-07
4335,444552,Z01VD77CV,2024-08-07
4336,444552,BBRYE9MHB,2024-08-07
4419,444552,DMNAGMX98,2024-08-07
4477,444552,ZNA91S9D2,2024-08-07
4514,444552,K27XWXEAV,2024-08-07
4515,444552,74ZWH92CR,2024-08-07
4519,444552,PTGYFGVZX,2024-08-07
4521,444552,RNDSA0YSM,2024-08-07
4522,444552,XS5EZS2Y7,2024-08-07
4523,444552,4BVG4ARWX,2024-08-07
4524,444552,NEE1EG3FG,2024-08-07
4410,444552,B57Y4GFPF,2024-08-07
4337,444552,RH5EEW2GA,2024-08-07
4359,444552,1NB5ZBTXH,2024-08-07
4553,444552,RSA4YNRNE,2024-08-07
4554,444552,CK9FK2CBX,2024-08-07
4555,444552,D32VG3S16,2024-08-07
4557,444552,1C25F25ZR,2024-08-07
4558,444552,EG5AHPMKT,2024-08-07
4417,444552,DF4V85V2D,2024-08-07
4420,444552,HK4KM2MT6,2024-08-07
4436,444552,3DKKNPGBN,2024-08-07
4437,444552,5S8FMVABZ,2024-08-07
4438,444552,4N13K21CZ,2024-08-07
4439,444552,G1S5XEY3S,2024-08-07
4440,444552,BRK15XNZH,2024-08-07
4441,444552,YFMK2ZG97,2024-08-07
4443,444552,80SK9NCC2,2024-08-07
4444,444552,78T8NCY59,2024-08-07
4445,444552,YMHHG458Y,2024-08-07
4446,444552,3EYKT1C0T,2024-08-07
4447,444552,4WME220M0,2024-08-07
4448,444552,9NF57V9M6,2024-08-07
4380,444552,ARF20GM09,2024-08-07
4381,444552,HS7454M17,2024-08-07
4382,444552,B4KE3DY8N,2024-08-07
4383,444552,ERZRXB4YE,2024-08-07
4385,444552,ECDTHX53S,2024-08-07
4329,444552,84Y8C3ZBC,2024-08-07
4330,444552,W6903Y1V9,2024-08-07
4540,444552,FWTBHZ04R,2024-08-07
4541,444552,RBRYBRE6A,2024-08-07
4542,444552,RZP4BCG4R,2024-08-07
4543,444552,XN4P4KHGY,2024-08-07
4544,444552,AP34AEDXM,2024-08-07
4545,444552,FA4R5MMWK,2024-08-07
4546,444552,TWWB8X5Z1,2024-08-07
4547,444552,A0E3VRE8A,2024-08-07
4548,444552,10EY16HRA,2024-08-07
4559,444552,Y7ZYP7PHT,2024-08-07
